WKT,GEOID,NAME,variable,estimate,moe
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B25002_003,0,14
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B25003_002,0,14
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B25003_003,0,14
"POLYGON ((-77.079016 38.912679,-77.074327 38.912589,-77.073097 38.912589,-77.069201 38.911606,-77.069162 38.910692,-77.069081 38.908718,-77.071642 38.908582,-77.071498 38.905109,-77.076044 38.905552,-77.07831 38.906042,-77.077908 38.90671,-77.0777 38.909687,-77.079016 38.912679))","11001000201","Census Tract 2.01; District of Columbia; District of Columbia",B25064_001,,
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B01003_001,4344,539
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B03002_003,855,200
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B03002_004,2243,522
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B03002_012,877,356
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B11001_001,1804,234
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B11001_006,435,184
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B15003_022,614,235
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B15003_023,474,163
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B15003_024,219,93
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B15003_025,100,72
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B17001_002,596,307
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B19013_001,112778,40979
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B23025_005,87,102
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B25001_001,1880,219
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B25002_003,76,68
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B25003_002,909,170
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B25003_003,895,228
"POLYGON ((-77.036364 38.974864,-77.032967 38.978024,-77.026433 38.977982,-77.026426 38.978303,-77.0265907040259 38.9843001610361,-77.0205367150986 38.9796794651736,-77.0187064975833 38.9782825550368,-77.019267 38.977949,-77.019835 38.977475,-77.022766 38.973609,-77.022857 38.973512,-77.025406 38.969924,-77.027265 38.969925,-77.027024 38.972354,-77.029692 38.972263,-77.033416 38.972263,-77.036371 38.972269,-77.036364 38.974864))","11001010300","Census Tract 103; District of Columbia; District of Columbia",B25064_001,1325,236
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B01003_001,3877,559
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B03002_003,1022,322
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B03002_004,884,263
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B03002_012,1341,608
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B11001_001,1826,230
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B11001_006,205,125
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B15003_022,721,196
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B15003_023,659,222
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B15003_024,227,115
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B15003_025,81,49
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B17001_002,547,351
"POLYGON ((-77.036451 38.934966,-77.036447 38.937427,-77.03391 38.937387,-77.03273 38.937078,-77.032732 38.934121,-77.032735 38.931868,-77.036456 38.933288,-77.036451 38.934966))","11001002801","Census Tract 28.01; District of Columbia; District of Columbia",B19013_001,86029,16177
