tract,year,shift,total_crimes,violent_crimes,property_crimes,nearest_station,dist_to_nearest_metro,name,nearest_station_id,stations_within_400m,stations_within_800m,line,above_ground,transfer_station,total_population,median_household_income,log_pop,pct_white,pct_black_nh,pct_hispanic,pct_bachelors_only,pct_graduate,pct_poverty,pct_unemployed,pct_single_parent,pct_renter,pct_vacant,red_line,green_line,yellow_line,blue_line,orange_line,silver_line,blue_orange_silver_line,green_yellow_line
"Census Tract 87.01, District of Columbia, District of Columbia",2021,EVENING,40,5,35,NoMa - Gallaudet U,834.9257413395442,NoMa - Gallaudet U,MetroStnPt_16,0,0,red,1,0,2683,129954,7.894690850425624,0.44726052925829296,0.4662691017517704,0.0160268356317555,0.3477450614983228,0.27245620573984347,0.09467014535967201,0.008572493477450614,0.1500441306266549,0.37894736842105264,0.0825910931174089,1,0,0,0,0,0,0,0
"Census Tract 96.03, District of Columbia, District of Columbia",2021,EVENING,109,38,71,Benning Road,818.7009107263507,Benning Road,MetroStnPt_29,0,0,"blue, silver",0,0,3902,50447,8.269244521183056,0.0030753459764223477,0.9315735520246028,0.018708354689902614,0.09456688877498719,0.06048180420297283,0.28267555099948743,0.096360840594566885,0.21275483533716674,0.642,0.0435,0,0,0,1,0,1,1,0
"Census Tract 99.04, District of Columbia, District of Columbia",2021,EVENING,30,3,27,Benning Road,901.5874205712762,Benning Road,MetroStnPt_29,0,0,"blue, silver",0,0,3102,52112,8.039802343736485,0.01644100580270793,0.7978723404255319,0.13604126370083816,0.10702772404900064,0.022888459058671824,0.3207607994842037,0.054480980012894906,0.27692307692307694,0.5638673253352152,0.12844036697247707,0,0,0,1,0,1,1,0
"Census Tract 8.02, District of Columbia, District of Columbia",2021,EVENING,16,1,15,Foggy Bottom-GWU,3393.38481518623,Foggy Bottom-GWU,MetroStnPt_21,0,0,"blue, orange, silver",0,0,3384,145132,8.126813720726114,0.692966903073286,0.08421985815602837,0.1291371158392435,0.21453900709219859,0.4379432624113475,0.08451536643026004,0.020390070921985817,0.06336088154269973,0.4206036745406824,0.047244094488188976,0,0,0,1,1,1,1,0
"Census Tract 24, District of Columbia, District of Columbia",2021,EVENING,92,7,85,Georgia Ave Petworth,483.57598872994873,Georgia Ave Petworth,MetroStnPt_6,0,1,green,0,0,3922,123407,8.274357006756292,0.352371239163692,0.3306986231514533,0.2557368689444161,0.22004079551249361,0.24987251402345742,0.04767975522692504,0.02702702702702703,0.07378640776699029,0.3422693266832918,0.03678304239401496,0,1,0,0,0,0,0,1
"Census Tract 34, District of Columbia, District of Columbia",2021,EVENING,125,20,105,Shaw-Howard Univ,956.2534346773217,Shaw-Howard Univ,MetroStnPt_13,0,0,green,0,0,4711,91734,8.45765547870004,0.2865633623434515,0.46911483761409467,0.11250265336446615,0.11908299724050095,0.1536828698790066,0.11398853746550626,0.018891954998938653,0.1355343179843614,0.5003563791874555,0.1796151104775481,0,1,0,0,0,0,0,1
"Census Tract 104, District of Columbia, District of Columbia",2021,EVENING,81,25,56,Congress Heights,995.7236362930264,Congress Heights,MetroStnPt_40,0,0,green,0,0,4596,82204,8.432941638968646,0.08093994778067885,0.8885987815491732,0.01610095735422106,0.05918189730200174,0.11488250652741515,0.2280243690165361,0.0737597911227154,0.16995181778361804,0.45472837022132795,0.08128772635814889,0,1,0,0,0,0,0,1
"Census Tract 90, District of Columbia, District of Columbia",2021,EVENING,97,7,90,Deanwood,2310.177855018954,Deanwood,MetroStnPt_15,0,0,orange,1,0,3566,62898,8.179199798423086,0.06954570947840717,0.8135165451486259,0.038698822209758836,0.18255748738081884,0.15928210880538418,0.07403252944475602,0.019068984856982614,0.10505494505494506,0.45018602728400164,0.059528730880529145,0,0,0,0,1,0,1,0
"Census Tract 13.04, District of Columbia, District of Columbia",2021,EVENING,38,2,36,Cleveland Park,365.9925989500899,Cleveland Park,MetroStnPt_7,1,1,red,0,0,4477,115689,8.406708458240965,0.67969622515077055,0.052713870895689074,0.15836497654679474,0.3200804109895019,0.5367433549251731,0.07169979897252625,0.017869108778199687,0.007399932727884292,0.7522697795071336,0.03599221789883268,1,0,0,0,0,0,0,0
"Census Tract 72.01, District of Columbia, District of Columbia",2021,EVENING,51,4,47,Navy Yard - Ballpark,548.2272094439273,Navy Yard - Ballpark,MetroStnPt_37,0,1,green,0,0,1893,111813,7.545918151209323,0.7083993660855784,0.09667194928684628,0.09138932910723718,0.375594294770206,0.40729001584786056,0.022187004754358162,0.054410987849973586,0,0.8001289490651193,0.12250161186331399,0,1,0,0,0,0,0,1
"Census Tract 25.03, District of Columbia, District of Columbia",2021,EVENING,105,12,93,Georgia Ave Petworth,347.8183219546357,Georgia Ave Petworth,MetroStnPt_6,1,1,green,0,0,2925,86250,7.981049759665957,0.3282051282051282,0.39521367521367523,0.18495726495726494,0.38324786324786325,0.2164102564102564,0.09367521367521367,0.16615384615384615,0.057107386716325266,0.6254847645429363,0.1074792243767313,0,1,0,0,0,0,0,1
"Census Tract 78.04, District of Columbia, District of Columbia",2021,EVENING,84,24,60,Benning Road,784.6142691900209,Benning Road,MetroStnPt_29,0,1,"blue, silver",0,0,4020,58431,8.299037181613066,0.02064676616915423,0.9425373134328359,0,0.09129353233830846,0.05721393034825871,0.2009950248756219,0.035323383084577116,0.6004672897196262,0.5181315304240934,0.21081745543945912,0,0,0,1,0,1,1,0
"Census Tract 18.03, District of Columbia, District of Columbia",2021,EVENING,19,0,19,Takoma,2111.844958692733,Takoma,MetroStnPt_1,0,0,red,1,0,4148,58917,8.330381569349418,0.09691417550626807,0.595708775313404,0.29218900675024106,0.11089681774349083,0.09836065573770492,0.1885245901639344,0.040983606557377046,0.13414634146341464,0.7745856353591161,0.09392265193370165,1,0,0,0,0,0,0,0
"Census Tract 74.08, District of Columbia, District of Columbia",2021,EVENING,33,9,24,Congress Heights,1743.899454788905,Congress Heights,MetroStnPt_40,0,0,green,0,0,3530,21360,8.169053149927343,0.01529745042492918,0.9212464589235128,0.01529745042492918,0.04589235127478754,0.024645892351274786,0.39291784702549576,0.12294617563739377,0.34099066762383345,0.7854500616522812,0.14118372379778052,0,1,0,0,0,0,0,1
"Census Tract 92.04, District of Columbia, District of Columbia",2021,EVENING,26,4,22,Rhode Island Ave,355.36771064181846,Rhode Island Ave,MetroStnPt_11,1,1,red,1,0,3249,29167,8.0861025356691,0.07017543859649122,0.7599261311172668,0.1523545706371191,0.10926438904278239,0.054786088027085254,0.353031702062173,0.04555247768544168,0.2386058981233244,0.8092485549132948,0.04174694926140013,1,0,0,0,0,0,0,0
"Census Tract 49.02, District of Columbia, District of Columbia",2021,EVENING,138,4,134,Mt Vernon Sq - 7th St Convention Center,223.08545424985184,Mt Vernon Sq - 7th St Convention Center,MetroStnPt_17,1,1,"green, yellow",0,0,3333,141221,8.11162807830774,0.5475547554755475,0.20342034203420342,0.15361536153615363,0.31413141314131415,0.36783678367836786,0.10831083108310831,0.031203120312031204,0.043021032504780114,0.6437587657784011,0.021972884525479196,0,1,1,0,0,0,0,1
"Census Tract 76.05, District of Columbia, District of Columbia",2021,EVENING,50,13,37,Anacostia,1779.315617804381,Anacostia,MetroStnPt_39,0,0,green,0,0,3482,41506,8.155362120328135,0.038770821367030445,0.9261918437679495,0.004595060310166571,0.08271108558299828,0.13612866168868468,0.23176335439402643,0.0700746697300402,0.25172596919808815,0.6438095238095238,0.10333333333333333,0,1,0,0,0,0,0,1
"Census Tract 91.02, District of Columbia, District of Columbia",2021,EVENING,217,27,190,Rhode Island Ave,662.4643254724496,Rhode Island Ave,MetroStnPt_11,0,1,red,1,0,4820,48996,8.480529207044645,0.091701244813278,0.7684647302904565,0.08941908713692946,0.1545643153526971,0.10435684647302905,0.26473029045643154,0.05912863070539419,0.2252388134741076,0.5676758682101514,0.11442564559216385,1,0,0,0,0,0,0,0
"Census Tract 92.01, District of Columbia, District of Columbia",2021,EVENING,59,7,52,Brookland-CUA,635.3525313250542,Brookland-CUA,MetroStnPt_8,0,1,red,0,0,3099,105093,8.038834757787749,0.4975798644724105,0.2420135527589545,0.14165859954824137,0.17166828009035173,0.2758954501452081,0.16940948693126814,0.02968699580509842,0.06,0.4656046343229544,0.16727009413468502,1,0,0,0,0,0,0,0
"Census Tract 95.11, District of Columbia, District of Columbia",2021,EVENING,10,1,9,Brookland-CUA,718.5410294912787,Brookland-CUA,MetroStnPt_8,0,1,red,0,0,2016,NA,7.60887062919126,0.6215277777777778,0.11755952380952381,0.1423611111111111,0.023809523809523808,0.030753968253968252,0.051587301587301584,0.030257936507936508,NA,NA,NA,1,0,0,0,0,0,0,0
"Census Tract 44.02, District of Columbia, District of Columbia",2021,EVENING,192,13,179,U St/African-Amer Civil War Memorial/Cardozo,170.9429402584995,U St/African-Amer Civil War Memorial/Cardozo,MetroStnPt_12,1,2,green,0,0,2602,163600,7.86403565907245,0.5710991544965411,0.17524980784012298,0.0595695618754804,0.2167563412759416,0.3670253651037663,0.023443504996156803,0.09069946195234435,0,0.42289719626168226,0.1277258566978193,0,1,0,0,0,0,0,1
"Census Tract 13.01, District of Columbia, District of Columbia",2021,EVENING,14,0,14,Van Ness-UDC,1388.0595291240652,Van Ness-UDC,MetroStnPt_5,0,0,red,0,0,4436,95363,8.397508348470257,0.6616321009918846,0.15757439134355275,0.09084761045987376,0.2006311992786294,0.42493237150586116,0.07642019837691615,0.0369702434625789,0.04300543746910529,0.6504217432052484,0.052014995313964384,1,0,0,0,0,0,0,0
"Census Tract 32, District of Columbia, District of Columbia",2021,EVENING,53,7,46,Georgia Ave Petworth,617.7074700645737,Georgia Ave Petworth,MetroStnPt_6,0,1,green,0,0,4646,119000,8.443761913330354,0.2656048213517004,0.4089539388721481,0.2767972449418855,0.14765389582436506,0.1894102453723633,0.18984072320275505,0.08372793801119242,0.1445409429280397,0.2908912830558276,0.21057786483839372,0,1,0,0,0,0,0,1
"Census Tract 71, District of Columbia, District of Columbia",2021,EVENING,80,10,70,Potomac Ave,470.20151618478536,Potomac Ave,MetroStnPt_36,0,1,"blue, orange, silver",0,0,3403,103906,8.132412674500905,0.3014986776373788,0.5518660005877167,0.08639435791948281,0.19600352630032325,0.21363502791654423,0.21481046135762563,0.033793711431090216,0.20518358531317496,0.5306666666666666,0.074,0,0,0,1,1,1,1,0
"Census Tract 77.03, District of Columbia, District of Columbia",2021,EVENING,66,25,41,Benning Road,951.8582795980611,Benning Road,MetroStnPt_29,0,0,"blue, silver",0,0,7138,40152,8.873187904050106,0.0012608573830204539,0.9170636032502102,0.06262258335668254,0.027738862426449986,0.023395909218268424,0.3241804427010367,0.062482488091902495,0.40252393385552654,0.6695261437908496,0.061274509803921566,0,0,0,1,0,1,1,0
"Census Tract 10.02, District of Columbia, District of Columbia",2022,EVENING,26,1,25,Tenleytown-AU,1160.3685363579882,Tenleytown-AU,MetroStnPt_4,0,0,red,0,0,3438,131731,8.142645185942795,0.7463641652123327,0.06108202443280977,0.06719022687609075,0.2356020942408377,0.40808609656777195,0.13845258871436883,0.0029086678301337987,0.045275590551181105,0.5166382252559727,0.13310580204778158,1,0,0,0,0,0,0,0
"Census Tract 28.01, District of Columbia, District of Columbia",2022,EVENING,39,4,35,Columbia Heights,806.5352051873949,Columbia Heights,MetroStnPt_9,0,0,green,0,0,3818,80223,8.247482004285693,0.2820848611838659,0.20481927710843373,0.37585123101100054,0.2001047668936616,0.22367731796752227,0.1503404924044002,0.010738606600314301,0.11454239191465469,0.7754442649434572,0.04092622509423802,0,1,0,0,0,0,0,1
"Census Tract 31, District of Columbia, District of Columbia",2022,EVENING,107,8,99,Columbia Heights,689.4662908579592,Columbia Heights,MetroStnPt_9,0,2,green,0,0,3451,144327,8.146419323098003,0.47435525934511735,0.2248623587365981,0.21674876847290642,0.23268617791944363,0.4042306577803535,0.056505360764995655,0.05244856563314981,0.08190370780298838,0.4442691903259727,0.049947423764458466,0,1,0,0,0,0,0,1
"Census Tract 40.01, District of Columbia, District of Columbia",2022,EVENING,42,4,38,Woodley Park-Zoo Adams Morgan,705.2207311809577,Woodley Park-Zoo Adams Morgan,MetroStnPt_10,0,1,red,0,0,4250,166131,8.354674261918463,0.696,0.09341176470588235,0.1131764705882353,0.3743529411764706,0.4527058823529412,0.03364705882352941,0.00611764705882353,0.038130381303813035,0.5692554043234588,0.023618895116092876,1,0,0,0,0,0,0,0
"Census Tract 105, District of Columbia, District of Columbia",2022,EVENING,26,4,22,Federal Center SW,417.74023110891994,Federal Center SW,MetroStnPt_32,0,3,"blue, orange, silver",0,0,3953,103929,8.282230063296685,0.4798886921325575,0.36883379711611436,0.08828737667594232,0.20591955476853022,0.3668100177080698,0.22261573488489755,0.02732102200860106,0.05178127589063795,0.6808080808080809,0.024646464646464646,0,0,0,1,1,1,1,0
"Census Tract 46, District of Columbia, District of Columbia",2022,EVENING,83,11,72,Mt Vernon Sq - 7th St Convention Center,832.2780360927034,Mt Vernon Sq - 7th St Convention Center,MetroStnPt_17,0,0,"green, yellow",0,0,3153,139205,8.056109659545061,0.4100856327307326,0.4490960989533777,0.07421503330161751,0.20107833809070727,0.3006660323501427,0.07453219156359023,0.013320647002854425,0.17018554062699937,0.5076923076923077,0.038153846153846156,0,1,1,0,0,0,0,1
"Census Tract 88.03, District of Columbia, District of Columbia",2022,EVENING,248,22,226,NoMa - Gallaudet U,1075.1072495808025,NoMa - Gallaudet U,MetroStnPt_16,0,0,red,1,0,3784,79194,8.238536930171769,0.22832980972515857,0.568446088794926,0.13239957716701903,0.160676532769556,0.14534883720930233,0.23969344608879492,0.06950317124735729,0.12415488629379226,0.7503782148260212,0.1795259707513868,1,0,0,0,0,0,0,0
"Census Tract 95.07, District of Columbia, District of Columbia",2022,EVENING,12,2,10,Fort Totten,818.7380069151636,Fort Totten,MetroStnPt_3,0,0,"red, green",1,1,1650,84459,7.408530566894626,0.09454545454545454,0.7266666666666667,0.14303030303030304,0.15696969696969698,0.10848484848484849,0.16303030303030303,0.029696969696969697,0.28762541806020064,0.06814580031695722,0.05229793977812995,1,1,0,0,0,0,0,1
"Census Tract 95.09, District of Columbia, District of Columbia",2022,EVENING,17,2,15,Fort Totten,686.7975249722921,Fort Totten,MetroStnPt_3,0,1,"red, green",1,1,3148,109107,8.054522609537294,0.17566709021601015,0.6804320203303685,0.10800508259212198,0.23697585768742058,0.16740787801778909,0.03144853875476493,0.023824650571791613,0.15599705665930833,0.06719653179190752,0.018063583815028903,1,1,0,0,0,0,0,1
"Census Tract 53.03, District of Columbia, District of Columbia",2022,EVENING,41,2,39,Dupont Circle,373.3975796797944,Dupont Circle,MetroStnPt_14,1,2,red,0,0,2637,106335,7.877397186353287,0.7098976109215017,0.006825938566552901,0.07584376185058779,0.3519150549867273,0.4956389836935912,0.07773985589685248,0.01478953356086462,0,0.41789748045178104,0.11685490877497828,1,0,0,0,0,0,0,0
"Census Tract 102.02, District of Columbia, District of Columbia",2022,EVENING,82,4,78,L'Enfant Plaza,295.04723391129363,L'Enfant Plaza,MetroStnPt_34,1,3,"green, yellow, orange, blue, silver",0,1,2303,112500,7.741967899820685,0.5075987841945289,0.3139383412939644,0.05080330004342162,0.2930959617889709,0.3482414242292662,0.053842813721233174,0.023881893182805036,0.1304945054945055,0.536381197681906,0.062459755312298776,0,1,1,1,1,1,1,1
"Census Tract 50.03, District of Columbia, District of Columbia",2022,EVENING,60,1,59,McPherson Sq,721.6315732288205,McPherson Sq,MetroStnPt_19,0,2,"blue, orange, silver",0,0,1809,140489,7.500529485395295,0.6047540077390824,0.08623548922056384,0.17025981205085683,0.29132117191818685,0.4930901050304035,0.1370923161967938,0.03427307904919845,0.06172839506172839,0.6523500810372771,0.08103727714748785,0,0,0,1,1,1,1,0
"Census Tract 102.01, District of Columbia, District of Columbia",2022,EVENING,41,7,34,Waterfront,185.82313922603103,Waterfront,MetroStnPt_38,1,1,green,0,0,2837,93178,7.950502434808851,0.46422277053225236,0.299259781459288,0.09376101515685584,0.3091293620021149,0.34966513923158266,0.04194571730701445,0.0426506873457878,0.030518819938962362,0.7777305567360816,0.1644708882277943,0,1,0,0,0,0,0,1
"Census Tract 1.01, District of Columbia, District of Columbia",2022,EVENING,6,0,6,Foggy Bottom-GWU,956.2417496637719,Foggy Bottom-GWU,MetroStnPt_21,0,0,"blue, orange, silver",0,0,1097,168705,7.00033446027523,0.7283500455788514,0.023701002734731084,0.12306289881494986,0.390154968094804,0.49134001823154055,0.024612579762989972,0,0,0.43876337693222356,0.12247324613555291,0,0,0,1,1,1,1,0
"Census Tract 37.02, District of Columbia, District of Columbia",2022,EVENING,14,3,11,Columbia Heights,361.6670868111623,Columbia Heights,MetroStnPt_9,1,1,green,0,0,2953,67424,7.990576881743923,0.351506942092787,0.48730104977988487,0.08601422282424653,0.2895360650186251,0.18252624449712157,0.26312224856078564,0.08770741618692855,0.2293640054127199,0.7525962125839951,0.09712889431887599,0,1,0,0,0,0,0,1
"Census Tract 81, District of Columbia, District of Columbia",2022,EVENING,27,6,21,Eastern Market,994.853127809945,Eastern Market,MetroStnPt_35,0,0,"blue, orange, silver",0,0,3123,166672,8.046549357283078,0.7700928594300352,0.056996477745757286,0.1053474223503042,0.22094140249759847,0.5321805955811719,0.009285943003522255,0.007044508485430675,0.030045721750489876,0.49214330609679446,0.03771213073538655,0,0,0,1,1,1,1,0
"Census Tract 5.02, District of Columbia, District of Columbia",2022,EVENING,28,0,28,Woodley Park-Zoo Adams Morgan,719.702833368613,Woodley Park-Zoo Adams Morgan,MetroStnPt_10,0,2,red,0,0,3384,152917,8.126813720726114,0.6879432624113475,0.04373522458628842,0.15425531914893617,0.1908983451536643,0.5038416075650118,0.04698581560283688,0.014479905437352246,0.045507584597432905,0.43655673560648406,0.041922861934041364,1,0,0,0,0,0,0,0
"Census Tract 14.01, District of Columbia, District of Columbia",2022,EVENING,25,0,25,Friendship Heights,1402.6768371152375,Friendship Heights,MetroStnPt_2,0,0,red,0,0,3326,211806,8.109525659752872,0.6082381238725195,0.05111244738424534,0.16897173782321107,0.18701142513529764,0.47083583884546,0.03638003607937462,0.016536380036079375,0.019563581640331076,0.3560660445082556,0.04594400574300072,1,0,0,0,0,0,0,0
"Census Tract 19.01, District of Columbia, District of Columbia",2022,EVENING,46,7,39,Takoma,1342.4229030624517,Takoma,MetroStnPt_1,0,0,red,1,0,4628,83047,8.439880088313567,0.17718236819360414,0.6175453759723423,0.17394122731201384,0.1346153846153846,0.17545375972342264,0.03176318063958514,0.03522039757994814,0.15356711003627568,0.17545807884508607,0.08162132148806218,1,0,0,0,0,0,0,0
"Census Tract 22.02, District of Columbia, District of Columbia",2022,EVENING,24,3,21,Fort Totten,1067.4238029187463,Fort Totten,MetroStnPt_3,0,0,"red, green",1,1,3232,87919,8.080856419640986,0.2685643564356436,0.5358910891089109,0.16986386138613863,0.11169554455445545,0.1806930693069307,0.14232673267326731,0.043316831683168314,0.20581304006284368,0.3970088375254929,0.13460231135282122,1,1,0,0,0,0,0,1
"Census Tract 27.02, District of Columbia, District of Columbia",2022,EVENING,84,4,80,Columbia Heights,824.1127639121825,Columbia Heights,MetroStnPt_9,0,0,green,0,0,5568,130421,8.624791202014256,0.5431034482758621,0.11997126436781609,0.2379669540229885,0.2036637931034483,0.3448275862068966,0.04040948275862069,0.04328304597701149,0.06146469049694856,0.512912197059992,0.08859753675009932,0,1,0,0,0,0,0,1
"Census Tract 33.02, District of Columbia, District of Columbia",2022,EVENING,41,5,36,Shaw-Howard Univ,932.8810325142227,Shaw-Howard Univ,MetroStnPt_13,0,0,green,0,0,2373,177262,7.771910256435763,0.42815002107037503,0.4066582385166456,0.059839865149599665,0.32364096080910243,0.3480825958702065,0.09608091024020228,0.03497682258744206,0.04855371900826446,0.4669950738916256,0.04630541871921182,0,1,0,0,0,0,0,1
"Census Tract 48.01, District of Columbia, District of Columbia",2022,EVENING,72,13,59,Shaw-Howard Univ,283.2535128936671,Shaw-Howard Univ,MetroStnPt_13,1,2,green,0,0,2852,164286,7.955775781534187,0.49158485273492286,0.2808555399719495,0.1458625525946704,0.2868162692847125,0.3492286115007013,0.10553997194950912,0.0455820476858345,0.09902370990237098,0.5704134366925064,0.07364341085271318,0,1,0,0,0,0,0,1
"Census Tract 108, District of Columbia, District of Columbia",2022,EVENING,26,0,26,Farragut West,556.2208980929507,Farragut West,MetroStnPt_20,0,3,"blue, orange, silver",0,0,4083,34568,8.314587291319576,0.5424932647563067,0.10335537594905707,0.11609110947832477,0.03502326720548616,0.11878520695566985,0.10409012980651482,0.055106539309331376,0.007760532150776054,0.62298682284041,0.3396778916544656,0,0,0,1,1,1,1,0
"Census Tract 68.01, District of Columbia, District of Columbia",2022,EVENING,34,4,30,Stadium Armory,286.0979034237934,Stadium Armory,MetroStnPt_31,1,1,"blue, orange, silver",1,0,2315,153889,7.747164966520335,0.49848812095032397,0.2781857451403888,0.07257019438444924,0.19265658747300216,0.3252699784017279,0.15680345572354212,0.05053995680345572,0.131163708086785,0.374326750448833,0.08976660682226212,0,0,0,1,1,1,1,0
"Census Tract 74.06, District of Columbia, District of Columbia",2022,EVENING,25,10,15,Anacostia,957.9895030983489,Anacostia,MetroStnPt_39,0,0,green,0,0,3033,41115,8.017307507688582,0,0.8892185954500494,0.006923837784371909,0.07682162875041214,0.0230794592812397,0.3900428618529509,0.0791295746785361,0.5475040257648953,0.7524271844660194,0.13869625520110956,0,1,0,0,0,0,0,1
"Census Tract 75.03, District of Columbia, District of Columbia",2022,EVENING,59,14,45,Anacostia,732.2384360147928,Anacostia,MetroStnPt_39,0,1,green,0,0,2518,37218,7.831220214604293,0.057188244638602066,0.886020651310564,0.046068308181096106,0.06791104050833995,0.050833995234312944,0.3983320095313741,0.08379666401906274,0.26977248104008666,0.5850694444444444,0.1987847222222222,0,1,0,0,0,0,0,1
"Census Tract 77.09, District of Columbia, District of Columbia",2022,EVENING,33,6,27,Stadium Armory,1310.3814239232215,Stadium Armory,MetroStnPt_31,0,0,"blue, orange, silver",1,0,2303,38086,7.741967899820685,0.014763352149370386,0.9131567520625271,0.05167173252279635,0.05644811115935736,0.04211897524967434,0.26921406860616587,0.04776378636561007,0.32086450540315875,0.7218100890207715,0.10756676557863501,0,0,0,1,1,1,1,0
"Census Tract 79.03, District of Columbia, District of Columbia",2022,EVENING,40,9,31,Stadium Armory,1101.1330081593153,Stadium Armory,MetroStnPt_31,0,0,"blue, orange, silver",1,0,1739,103523,7.461065514354283,0.24784358826912017,0.5876940770557791,0.053479010925819435,0.17136285221391603,0.2282921219091432,0.06728004600345026,0.05462909718228867,0.20314547837483618,0.2494407158836689,0.1465324384787472,0,0,0,1,1,1,1,0
"Census Tract 97, District of Columbia, District of Columbia",2022,EVENING,23,8,15,Congress Heights,1288.6760033899047,Congress Heights,MetroStnPt_40,0,0,green,0,0,3830,46647,8.250620082174692,0.011227154046997388,0.9676240208877285,0.02114882506527415,0.02689295039164491,0.13368146214099216,0.22349869451697127,0.07754569190600522,0.26230425055928414,0.614025974025974,0.07116883116883117,0,1,0,0,0,0,0,1
"Census Tract 98.07, District of Columbia, District of Columbia",2022,EVENING,60,16,44,Congress Heights,2722.2366321767245,Congress Heights,MetroStnPt_40,0,0,green,0,0,3462,64602,8.149601735736155,0.02050837666088966,0.9217215482380127,0.03841709994222992,0.09329867128827267,0.04246100519930676,0.12853841709994224,0.027440785673021374,0.18502738892270237,0.612144420131291,0.1012035010940919,0,1,0,0,0,0,0,1
"Census Tract 99.07, District of Columbia, District of Columbia",2022,EVENING,38,11,27,Benning Road,909.4525872192479,Benning Road,MetroStnPt_29,0,0,"blue, silver",0,0,2472,66887,7.812782818577581,0.019417475728155338,0.8802588996763754,0.09425566343042072,0.061488673139158574,0.07160194174757281,0.22653721682847897,0.032362459546925564,0.2513542795232936,0.5406137184115524,0.16696750902527077,0,0,0,1,0,1,1,0
"Census Tract 28.02, District of Columbia, District of Columbia",2022,EVENING,119,17,102,Columbia Heights,253.49814594442174,Columbia Heights,MetroStnPt_9,1,1,green,0,0,5415,77731,8.596928159435091,0.2515235457063712,0.17045244690674052,0.4600184672206833,0.1778393351800554,0.2600184672206833,0.33887349953831947,0.060941828254847646,0.1310767014764134,0.7992895204262878,0.01349911190053286,0,1,0,0,0,0,0,1
"Census Tract 9.04, District of Columbia, District of Columbia",2022,EVENING,11,0,11,Tenleytown-AU,2392.0951089879763,Tenleytown-AU,MetroStnPt_4,0,0,red,0,0,3221,250001,8.0774471493312,0.7149953430611611,0.11518162061471593,0.07978888543930457,0.14498602918348338,0.49053089102763114,0.05246817758460105,0.02049053089102763,0.051894563426688634,0.22136817832436587,0.0668716372021522,1,0,0,0,0,0,0,0
"Census Tract 58.02, District of Columbia, District of Columbia",2022,EVENING,362,13,349,Metro Center,133.4321718069952,Metro Center,MetroStnPt_24,1,5,"red, blue, orange, silver",0,1,2027,179091,7.614312146452,0.5693142575234337,0.10212136161815491,0.15342871238283176,0.2377898371978293,0.5555007400098668,0.07202762703502713,0.029107054760730142,0.007462686567164179,0.5762910798122066,0.13497652582159625,1,0,0,1,1,1,1,0
"Census Tract 110.01, District of Columbia, District of Columbia",2022,EVENING,3,0,3,Waterfront,295.4349139445079,Waterfront,MetroStnPt_38,1,1,green,0,0,2607,135356,7.865955413933502,0.3989259685462217,0.37591100882240125,0.1883390870732643,0.270042194092827,0.34369006520905254,0.13578826237054084,0.01802838511699271,0.07852675469075747,0.4430379746835443,0.08924050632911393,0,1,0,0,0,0,0,1
"Census Tract 25.04, District of Columbia, District of Columbia",2022,EVENING,35,3,32,Georgia Ave Petworth,850.5251453911787,Georgia Ave Petworth,MetroStnPt_6,0,0,green,0,0,3128,107388,8.048149101665201,0.2915601023017903,0.21771099744245526,0.35262148337595906,0.21035805626598467,0.34654731457800514,0.17710997442455242,0.02237851662404092,0.1646811492641906,0.3611111111111111,0.009027777777777777,0,1,0,0,0,0,0,1
"Census Tract 8.03, District of Columbia, District of Columbia",2022,EVENING,11,1,10,Tenleytown-AU,1722.4522583967325,Tenleytown-AU,MetroStnPt_4,0,0,red,0,0,2464,138313,7.80954132465341,0.6193181818181818,0.06493506493506493,0.10470779220779221,0.1546266233766234,0.4630681818181818,0.1911525974025974,0.0349025974025974,0,0.24853228962818003,0.19569471624266144,1,0,0,0,0,0,0,0
"Census Tract 58.01, District of Columbia, District of Columbia",2022,EVENING,79,8,71,Gallery Pl-Chinatown,149.28421290802817,Gallery Pl-Chinatown,MetroStnPt_23,2,4,"red, green, yellow",0,1,1775,129529,7.4815557019095165,0.5876056338028169,0.11887323943661972,0.14591549295774647,0.29464788732394365,0.39042253521126763,0.2580281690140845,0.031549295774647886,0.015345268542199489,0.4532803180914513,0.22266401590457258,1,1,1,0,0,0,0,1
"Census Tract 4, District of Columbia, District of Columbia",2022,EVENING,11,0,11,Woodley Park-Zoo Adams Morgan,1177.411572190503,Woodley Park-Zoo Adams Morgan,MetroStnPt_10,0,0,red,0,0,1652,206218,7.409741954080923,0.6694915254237288,0.016343825665859565,0.1053268765133172,0.22760290556900725,0.44128329297820823,0.08837772397094432,0.017554479418886198,0.03484848484848485,0.30552147239263805,0.1901840490797546,1,0,0,0,0,0,0,0
"Census Tract 25.01, District of Columbia, District of Columbia",2022,EVENING,35,6,29,Georgia Ave Petworth,1074.305490543849,Georgia Ave Petworth,MetroStnPt_6,0,0,green,0,0,2981,205357,8.000014093678072,0.3619590741361959,0.36363636363636365,0.1881918819188192,0.19993290841999328,0.2519288829251929,0.042603153304260316,0.033881247903388124,0.13766730401529637,0.35766423357664234,0.04562043795620438,0,1,0,0,0,0,0,1
