tract,year,shift,total_crimes,violent_crimes,property_crimes,nearest_station,dist_to_nearest_metro,name,nearest_station_id,stations_within_400m,stations_within_800m,line,above_ground,transfer_station,total_population,median_household_income,log_pop,pct_white,pct_black_nh,pct_hispanic,pct_bachelors_only,pct_graduate,pct_poverty,pct_unemployed,pct_single_parent,pct_renter,pct_vacant,red_line,green_line,yellow_line,blue_line,orange_line,silver_line,blue_orange_silver_line,green_yellow_line
"Census Tract 37.02, District of Columbia, District of Columbia",2020,EVENING,38,9,29,Columbia Heights,361.6670868111623,Columbia Heights,MetroStnPt_9,1,1,green,0,0,2518,41719,7.831220214604293,0.28276409849086576,0.5837966640190627,0.060762509928514695,0.22915011914217634,0.13264495631453535,0.34273232724384434,0.09729944400317712,0.3073630136986301,0.6611629576453697,0.1615218951902369,0,1,0,0,0,0,0,1
"Census Tract 81, District of Columbia, District of Columbia",2020,EVENING,56,3,53,Eastern Market,994.853127809945,Eastern Market,MetroStnPt_35,0,0,"blue, orange, silver",0,0,3438,145907,8.142645185942795,0.783304246655032,0.06253635834787667,0.09511343804537521,0.25189063408958695,0.4688772542175684,0.004363001745200698,0.008726003490401396,0.015758371634931056,0.5226700251889169,0.04093198992443325,0,0,0,1,1,1,1,0
"Census Tract 5.02, District of Columbia, District of Columbia",2020,EVENING,32,0,32,Woodley Park-Zoo Adams Morgan,719.702833368613,Woodley Park-Zoo Adams Morgan,MetroStnPt_10,0,2,red,0,0,3580,153264,8.183118079394745,0.6874301675977653,0.04189944134078212,0.18324022346368715,0.1877094972067039,0.4921787709497207,0.055865921787709494,0.02988826815642458,0.026203534430225474,0.3960852043753598,0.055267702936096716,1,0,0,0,0,0,0,0
"Census Tract 14.01, District of Columbia, District of Columbia",2020,EVENING,51,1,50,Friendship Heights,1402.6768371152375,Friendship Heights,MetroStnPt_2,0,0,red,0,0,3641,174444,8.200013648175434,0.5973633617138149,0.055204614117000825,0.13457841252403185,0.19500137324910738,0.44026366382861853,0.05190881625926943,0.02773963196923922,0.026840490797546013,0.35993975903614456,0.018072289156626505,1,0,0,0,0,0,0,0
"Census Tract 19.01, District of Columbia, District of Columbia",2020,EVENING,58,2,56,Takoma,1342.4229030624517,Takoma,MetroStnPt_1,0,0,red,1,0,4220,67381,8.347590407030058,0.1590047393364929,0.6199052132701421,0.17369668246445497,0.15545023696682464,0.16398104265402844,0.13127962085308056,0.017772511848341232,0.1802403204272363,0.20963855421686747,0.09759036144578313,1,0,0,0,0,0,0,0
"Census Tract 22.02, District of Columbia, District of Columbia",2020,EVENING,49,10,39,Fort Totten,1067.4238029187463,Fort Totten,MetroStnPt_3,0,0,"red, green",1,1,3223,59083,8.078067881815437,0.19112627986348124,0.5901334160719827,0.19640086875581755,0.163201985727583,0.12069500465404902,0.13310580204778158,0.04591995035681042,0.203125,0.43593519882179677,0.15169366715758467,1,1,0,0,0,0,0,1
"Census Tract 27.02, District of Columbia, District of Columbia",2020,EVENING,85,10,75,Columbia Heights,824.1127639121825,Columbia Heights,MetroStnPt_9,0,0,green,0,0,6055,113250,8.708639655987193,0.5843104872006606,0.10487200660611065,0.1915772089182494,0.22196531791907514,0.3454995871180842,0.056647398843930635,0.02857142857142857,0.060770975056689346,0.5169309901414488,0.05486498071153022,0,1,0,0,0,0,0,1
"Census Tract 33.02, District of Columbia, District of Columbia",2020,EVENING,61,7,54,Shaw-Howard Univ,932.8810325142227,Shaw-Howard Univ,MetroStnPt_13,0,0,green,0,0,2195,139485,7.693937325509272,0.4328018223234624,0.4533029612756264,0.04646924829157175,0.3763097949886105,0.2988610478359909,0.07835990888382688,0.02232346241457859,0.0535931790499391,0.38131041890440387,0.11815252416756176,0,1,0,0,0,0,0,1
"Census Tract 48.01, District of Columbia, District of Columbia",2020,EVENING,63,8,55,Shaw-Howard Univ,283.2535128936671,Shaw-Howard Univ,MetroStnPt_13,1,2,green,0,0,3138,109453,8.051340933292979,0.49936265137029956,0.35564053537284895,0.09177820267686425,0.2887189292543021,0.28935627788400253,0.1354365838113448,0.04079031230082855,0.1132844335778321,0.5566787003610109,0.11407942238267148,0,1,0,0,0,0,0,1
"Census Tract 108, District of Columbia, District of Columbia",2020,EVENING,44,1,43,Farragut West,556.2208980929507,Farragut West,MetroStnPt_20,0,3,"blue, orange, silver",0,0,6351,32466,8.756367559802975,0.6288773421508423,0.09069437883797828,0.1050228310502283,0.03353802550779405,0.06203747441347819,0.07605101558809636,0.02912927098094788,0.008097165991902834,0.5878839590443686,0.3677474402730375,0,0,0,1,1,1,1,0
